epoch,total_epoch,global_step,lr,loss
1,50,20,2e-06,167.039253
1,50,40,5e-06,157.790855
1,50,60,8e-06,166.737434
1,50,80,1.2e-05,166.251419
1,50,98,1.5e-05,166.490387
2,50,100,1.5e-05,164.869965
2,50,120,1.9e-05,167.214943
2,50,140,2.2e-05,162.104744
2,50,160,2.5e-05,162.933609
2,50,180,2.9e-05,161.928406
2,50,196,3.2e-05,166.117462
3,50,200,3.2e-05,167.89814
3,50,220,3.6e-05,162.451027
3,50,240,3.9e-05,157.235092
3,50,260,4.2e-05,158.22654
3,50,280,4.6e-05,160.644684
3,50,294,4.8e-05,156.879776
4,50,300,4.9e-05,154.984116
4,50,320,5e-05,154.208
4,50,340,5e-05,152.554581
4,50,360,5e-05,158.691772
4,50,380,5e-05,150.033211
4,50,392,5e-05,151.704445
5,50,400,5e-05,154.323021
5,50,420,5e-05,152.478004
5,50,440,5e-05,148.42749
5,50,460,5e-05,149.551552
5,50,480,5e-05,150.243874
5,50,490,5e-05,152.052231
6,50,500,5e-05,150.034668
6,50,520,5e-05,147.177658
6,50,540,5e-05,144.892296
6,50,560,5e-05,145.053818
6,50,580,5e-05,144.723274
6,50,588,5e-05,141.452248
7,50,600,5e-05,140.67691
7,50,620,4.9e-05,143.482758
7,50,640,4.9e-05,141.469963
7,50,660,4.9e-05,142.557869
7,50,680,4.9e-05,141.805321
7,50,686,4.9e-05,142.466431
8,50,700,4.9e-05,139.475235
8,50,720,4.9e-05,140.868408
8,50,740,4.9e-05,139.088264
8,50,760,4.9e-05,134.189354
8,50,780,4.9e-05,138.116531
8,50,784,4.9e-05,139.056519
9,50,800,4.9e-05,135.234818
9,50,820,4.9e-05,137.042068
9,50,840,4.9e-05,134.875381
9,50,860,4.8e-05,139.14312
9,50,880,4.8e-05,129.984734
9,50,882,4.8e-05,130.047104
10,50,900,4.8e-05,131.485565
10,50,920,4.8e-05,128.876457
10,50,940,4.8e-05,133.357384
10,50,960,4.8e-05,132.186737
10,50,980,4.8e-05,134.433556
11,50,1000,4.8e-05,129.454918
11,50,1020,4.7e-05,130.456802
11,50,1040,4.7e-05,132.973976
11,50,1060,4.7e-05,130.930443
11,50,1078,4.7e-05,132.495712
12,50,1080,4.7e-05,132.495712
12,50,1100,4.7e-05,130.367775
12,50,1120,4.7e-05,123.930874
12,50,1140,4.6e-05,125.619041
12,50,1160,4.6e-05,122.444164
12,50,1176,4.6e-05,121.94294
13,50,1180,4.6e-05,120.974934
13,50,1200,4.6e-05,125.469749
13,50,1220,4.6e-05,125.592297
13,50,1240,4.6e-05,124.376362
13,50,1260,4.5e-05,120.544861
13,50,1274,4.5e-05,123.439396
14,50,1280,4.5e-05,124.435966
14,50,1300,4.5e-05,121.206181
14,50,1320,4.5e-05,121.549446
14,50,1340,4.5e-05,119.679359
14,50,1360,4.4e-05,118.495209
14,50,1372,4.4e-05,118.844795
15,50,1380,4.4e-05,122.564934
15,50,1400,4.4e-05,119.845882
15,50,1420,4.4e-05,117.533016
15,50,1440,4.4e-05,114.453121
15,50,1460,4.3e-05,120.609264
15,50,1470,4.3e-05,116.623985
16,50,1480,4.3e-05,113.316868
16,50,1500,4.3e-05,114.350388
16,50,1520,4.3e-05,115.970276
16,50,1540,4.3e-05,114.504826
16,50,1560,4.2e-05,115.943165
16,50,1568,4.2e-05,112.406754
17,50,1580,4.2e-05,114.759758
17,50,1600,4.2e-05,109.752464
17,50,1620,4.2e-05,110.705566
17,50,1640,4.1e-05,110.97171
17,50,1660,4.1e-05,110.923618
17,50,1666,4.1e-05,115.119907
18,50,1680,4.1e-05,115.979107
18,50,1700,4.1e-05,110.956615
18,50,1720,4e-05,108.353138
18,50,1740,4e-05,109.178276
18,50,1760,4e-05,106.853188
18,50,1764,4e-05,107.15617
19,50,1780,4e-05,107.686367
19,50,1800,3.9e-05,110.183365
19,50,1820,3.9e-05,106.024544
19,50,1840,3.9e-05,111.235085
19,50,1860,3.9e-05,106.414463
19,50,1862,3.9e-05,105.291519
20,50,1880,3.8e-05,109.626167
20,50,1900,3.8e-05,103.37785
20,50,1920,3.8e-05,107.059616
20,50,1940,3.7e-05,107.206818
20,50,1960,3.7e-05,106.956257
21,50,1980,3.7e-05,103.95475
21,50,2000,3.7e-05,102.060493
21,50,2020,3.6e-05,103.534145
21,50,2040,3.6e-05,105.232189
21,50,2058,3.6e-05,106.664322
22,50,2060,3.6e-05,107.669514
22,50,2080,3.5e-05,103.411644
22,50,2100,3.5e-05,105.564293
22,50,2120,3.5e-05,100.924587
22,50,2140,3.5e-05,101.359016
22,50,2156,3.4e-05,104.262466
23,50,2160,3.4e-05,103.925426
23,50,2180,3.4e-05,98.006187
23,50,2200,3.4e-05,102.233284
23,50,2220,3.3e-05,106.007427
23,50,2240,3.3e-05,102.954048
23,50,2254,3.3e-05,104.783581
24,50,2260,3.3e-05,101.921535
24,50,2280,3.2e-05,102.835014
24,50,2300,3.2e-05,97.965752
24,50,2320,3.2e-05,96.26791
24,50,2340,3.2e-05,98.217834
24,50,2352,3.1e-05,101.081486
25,50,2360,3.1e-05,99.555977
25,50,2380,3.1e-05,97.910324
25,50,2400,3.1e-05,94.895073
25,50,2420,3e-05,97.943321
25,50,2440,3e-05,98.032055
25,50,2450,3e-05,95.543068
26,50,2460,3e-05,94.908463
26,50,2480,2.9e-05,93.3475
26,50,2500,2.9e-05,94.471828
26,50,2520,2.9e-05,92.863815
26,50,2540,2.8e-05,98.513958
26,50,2548,2.8e-05,99.171238
27,50,2560,2.8e-05,97.262703
27,50,2580,2.8e-05,93.452675
27,50,2600,2.7e-05,95.905811
27,50,2620,2.7e-05,95.771168
27,50,2640,2.7e-05,93.855164
27,50,2646,2.7e-05,95.033321
28,50,2660,2.7e-05,95.656944
28,50,2680,2.6e-05,93.41711
28,50,2700,2.6e-05,95.478958
28,50,2720,2.6e-05,96.535053
28,50,2740,2.5e-05,95.093136
28,50,2744,2.5e-05,91.434265
29,50,2760,2.5e-05,90.369331
29,50,2780,2.5e-05,93.208954
29,50,2800,2.4e-05,93.501495
29,50,2820,2.4e-05,94.546753
29,50,2840,2.4e-05,92.023605
29,50,2842,2.4e-05,91.453812
30,50,2860,2.3e-05,92.471916
30,50,2880,2.3e-05,91.82341
30,50,2900,2.3e-05,89.62978
30,50,2920,2.2e-05,88.512547
30,50,2940,2.2e-05,96.040794
31,50,2960,2.2e-05,89.462524
31,50,2980,2.1e-05,94.81543
31,50,3000,2.1e-05,87.435455
31,50,3020,2.1e-05,94.340363
31,50,3038,2e-05,94.722229
32,50,3040,2e-05,94.742004
32,50,3060,2e-05,91.512596
32,50,3080,2e-05,90.176125
32,50,3100,2e-05,87.658955
32,50,3120,1.9e-05,87.522324
32,50,3136,1.9e-05,92.547585
33,50,3140,1.9e-05,94.052094
33,50,3160,1.9e-05,89.984444
33,50,3180,1.8e-05,94.54187
33,50,3200,1.8e-05,87.17836
33,50,3220,1.8e-05,90.909885
33,50,3234,1.7e-05,91.80542
34,50,3240,1.7e-05,90.862648
34,50,3260,1.7e-05,89.9361
34,50,3280,1.7e-05,88.211994
34,50,3300,1.6e-05,87.85334
34,50,3320,1.6e-05,88.83403
34,50,3332,1.6e-05,89.995304
35,50,3340,1.6e-05,91.995674
35,50,3360,1.6e-05,90.339611
35,50,3380,1.5e-05,87.396271
35,50,3400,1.5e-05,89.59425
35,50,3420,1.5e-05,88.455276
