epoch,total_epoch,global_step,lr,loss
1,35,100,5e-06,157.851379
1,35,197,9e-06,141.44735
2,35,200,1e-05,139.746117
2,35,300,1.5e-05,111.742184
2,35,394,1.9e-05,103.424553
3,35,400,2e-05,99.989902
3,35,500,2.5e-05,89.651733
3,35,591,2.9e-05,83.739281
4,35,600,3e-05,82.387527
4,35,700,3.5e-05,74.085785
4,35,788,3.9e-05,63.924004
5,35,800,4e-05,64.004906
5,35,900,4.5e-05,57.904682
5,35,985,4.9e-05,58.471859
6,35,1000,5e-05,55.133419
6,35,1100,5e-05,53.38896
6,35,1182,5e-05,46.370918
7,35,1200,5e-05,43.534258
7,35,1300,5e-05,45.447067
7,35,1379,5e-05,42.490019
8,35,1400,5e-05,35.984108
8,35,1500,4.9e-05,41.244104
8,35,1576,4.9e-05,37.958647
9,35,1600,4.9e-05,37.196413
9,35,1700,4.9e-05,33.706322
9,35,1773,4.8e-05,34.913004
10,35,1800,4.8e-05,32.012688
10,35,1900,4.8e-05,36.319221
10,35,1970,4.8e-05,29.596416
11,35,2000,4.7e-05,28.496353
11,35,2100,4.7e-05,28.533092
11,35,2167,4.7e-05,28.29845
12,35,2200,4.6e-05,26.285335
12,35,2300,4.6e-05,24.982679
12,35,2364,4.5e-05,27.352836
13,35,2400,4.5e-05,28.756309
13,35,2500,4.4e-05,23.103451
13,35,2561,4.4e-05,28.036469
14,35,2600,4.4e-05,26.550437
14,35,2700,4.3e-05,25.104895
14,35,2758,4.2e-05,27.098399
15,35,2800,4.2e-05,24.745291
15,35,2900,4.1e-05,21.857153
15,35,2955,4.1e-05,24.775994
16,35,3000,4e-05,25.769371
16,35,3100,3.9e-05,20.773997
16,35,3152,3.9e-05,22.497266
17,35,3200,3.8e-05,22.204135
17,35,3300,3.7e-05,23.567923
17,35,3349,3.7e-05,21.687623
18,35,3400,3.6e-05,21.916368
18,35,3500,3.5e-05,20.394485
18,35,3546,3.5e-05,22.488794
19,35,3600,3.4e-05,20.241645
19,35,3700,3.3e-05,20.429391
19,35,3743,3.3e-05,20.26549
20,35,3800,3.2e-05,20.70096
20,35,3900,3.1e-05,19.204265
20,35,3940,3.1e-05,20.015324
21,35,4000,3e-05,19.27696
21,35,4100,2.9e-05,19.622031
21,35,4137,2.8e-05,21.647544
22,35,4200,2.8e-05,16.794267
22,35,4300,2.7e-05,17.206614
22,35,4334,2.6e-05,16.849078
23,35,4400,2.5e-05,16.228717
23,35,4500,2.4e-05,18.088388
23,35,4531,2.4e-05,17.985075
24,35,4600,2.3e-05,18.140697
24,35,4700,2.2e-05,14.480684
24,35,4728,2.2e-05,17.379869
25,35,4800,2.1e-05,17.937929
25,35,4900,2e-05,15.438431
25,35,4925,2e-05,17.704976
26,35,5000,1.9e-05,15.187526
26,35,5100,1.8e-05,16.702875
26,35,5122,1.7e-05,17.216368
27,35,5200,1.7e-05,15.292549
27,35,5300,1.5e-05,13.404737
27,35,5319,1.5e-05,14.718175
28,35,5400,1.4e-05,15.094397
28,35,5500,1.3e-05,14.285071
28,35,5516,1.3e-05,17.605693
29,35,5600,1.2e-05,15.45233
29,35,5700,1.1e-05,15.841185
29,35,5713,1.1e-05,17.247726
30,35,5800,1.1e-05,14.842527
30,35,5900,1e-05,14.742296
30,35,5910,1e-05,12.978093
31,35,6000,9e-06,14.127314
31,35,6100,8e-06,16.533565
31,35,6107,8e-06,14.836227
32,35,6200,7e-06,15.509484
32,35,6300,6e-06,15.157531
32,35,6304,6e-06,13.498015
33,35,6400,6e-06,14.637187
33,35,6500,5e-06,13.928865
33,35,6501,5e-06,14.585431
34,35,6600,4e-06,12.710241
34,35,6698,4e-06,16.493081
35,35,6700,4e-06,16.493081
35,35,6800,3e-06,13.08312
35,35,6895,3e-06,15.527728
